2025-10-27 10:02:04.504 E EMd.exe[32704] main.cpp:27 main | 4.3.0.3 - Jul 20 2023 : 10:53:26
2025-10-27 10:02:04.512 I EMd.exe[32704] main.cpp:31 main | Version : 4.3.0.3
2025-10-27 10:02:04.512 I EMd.exe[32704] main.cpp:32 main | v : Version check
2025-10-27 10:07:12.023 E EMd.exe[26832] main.cpp:27 main | 4.3.0.3 - Jul 20 2023 : 10:53:26
2025-10-27 10:07:12.030 I EMd.exe[26832] main.cpp:31 main | Version : 4.3.0.3
2025-10-27 10:07:12.030 I EMd.exe[26832] main.cpp:32 main | v : Version check
2025-10-27 11:54:17.474 E EMd.exe[19876] main.cpp:27 main | 4.3.0.3 - Jul 20 2023 : 10:53:26
2025-10-27 11:54:17.481 I EMd.exe[19876] main.cpp:31 main | Version : 4.3.0.3
2025-10-27 11:54:17.481 I EMd.exe[19876] main.cpp:32 main | v : Version check
2025-10-27 11:54:22.055 E EMd.exe[30904] main.cpp:27 main | 4.3.0.3 - Jul 20 2023 : 10:53:26
2025-10-27 11:54:22.062 I EMd.exe[30904] main.cpp:31 main | Version : 4.3.0.3
2025-10-27 11:54:22.062 I EMd.exe[30904] main.cpp:32 main | v : Version check
2025-10-27 11:54:39.240 E EMd.exe[30408] main.cpp:27 main | 4.3.0.3 - Jul 20 2023 : 10:53:26
2025-10-27 11:54:39.248 I EMd.exe[30408] main.cpp:31 main | Version : 4.3.0.3
2025-10-27 11:54:39.248 I EMd.exe[30408] main.cpp:32 main | v : Version check
2025-10-27 11:56:27.096 E EMd.exe[33084] main.cpp:27 main | 4.3.0.3 - Jul 20 2023 : 10:53:26
2025-10-27 11:56:27.103 I EMd.exe[33084] main.cpp:31 main | Version : 4.3.0.3
2025-10-27 11:56:27.103 I EMd.exe[33084] main.cpp:32 main | v : Version check
2025-10-27 11:59:09.896 E EMd.exe[31836] main.cpp:27 main | 4.3.0.3 - Jul 20 2023 : 10:53:26
2025-10-27 11:59:09.903 I EMd.exe[31836] main.cpp:31 main | Version : 4.3.0.3
2025-10-27 11:59:09.903 I EMd.exe[31836] main.cpp:32 main | v : Version check
