2025-10-26 17:59:19.740 T MTd.exe[11192] main.cpp:43 main | 4DReplay MTd
2025-10-26 17:59:19.740 T MTd.exe[11192] main.cpp:44 main | Version : 4.4.0.2
2025-10-26 17:59:19.740 T MTd.exe[11192] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-26 17:59:19.740 I MTd.exe[11192] main.cpp:47 main | ver : Version
2025-10-26 17:59:19.740 I MTd.exe[11192] main.cpp:48 main | exit : Exit
2025-10-26 18:52:58.410 T MTd.exe[29808] main.cpp:43 main | 4DReplay MTd
2025-10-26 18:52:58.410 T MTd.exe[29808] main.cpp:44 main | Version : 4.4.0.2
2025-10-26 18:52:58.410 T MTd.exe[29808] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-26 18:52:58.410 I MTd.exe[29808] main.cpp:47 main | ver : Version
2025-10-26 18:52:58.410 I MTd.exe[29808] main.cpp:48 main | exit : Exit
2025-10-26 19:24:42.046 T MTd.exe[1856] main.cpp:43 main | 4DReplay MTd
2025-10-26 19:24:42.046 T MTd.exe[1856] main.cpp:44 main | Version : 4.4.0.2
2025-10-26 19:24:42.046 T MTd.exe[1856] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-26 19:24:42.046 I MTd.exe[1856] main.cpp:47 main | ver : Version
2025-10-26 19:24:42.046 I MTd.exe[1856] main.cpp:48 main | exit : Exit
2025-10-26 22:12:12.207 T MTd.exe[31284] main.cpp:43 main | 4DReplay MTd
2025-10-26 22:12:12.207 T MTd.exe[31284] main.cpp:44 main | Version : 4.4.0.2
2025-10-26 22:12:12.207 T MTd.exe[31284] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-26 22:12:12.207 I MTd.exe[31284] main.cpp:47 main | ver : Version
2025-10-26 22:12:12.207 I MTd.exe[31284] main.cpp:48 main | exit : Exit
2025-10-26 22:12:24.059 T MTd.exe[9444] main.cpp:43 main | 4DReplay MTd
2025-10-26 22:12:24.059 T MTd.exe[9444] main.cpp:44 main | Version : 4.4.0.2
2025-10-26 22:12:24.059 T MTd.exe[9444] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-26 22:12:24.059 I MTd.exe[9444] main.cpp:47 main | ver : Version
2025-10-26 22:12:24.059 I MTd.exe[9444] main.cpp:48 main | exit : Exit
