2025-10-26 17:59:21.826 I PCd.exe[32128] main.cpp:46 main | Version : 4.2.0.2
2025-10-26 17:59:21.826 I PCd.exe[32128] main.cpp:47 main | v : Version check
2025-10-26 17:59:21.826 E PCd.exe[32128] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-26 18:53:00.119 I PCd.exe[9496] main.cpp:46 main | Version : 4.2.0.2
2025-10-26 18:53:00.119 I PCd.exe[9496] main.cpp:47 main | v : Version check
2025-10-26 18:53:00.119 E PCd.exe[9496] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-26 22:12:13.946 I PCd.exe[10500] main.cpp:46 main | Version : 4.2.0.2
2025-10-26 22:12:13.946 I PCd.exe[10500] main.cpp:47 main | v : Version check
2025-10-26 22:12:13.946 E PCd.exe[10500] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-26 22:12:20.502 I PCd.exe[14672] main.cpp:46 main | Version : 4.2.0.2
2025-10-26 22:12:20.502 I PCd.exe[14672] main.cpp:47 main | v : Version check
2025-10-26 22:12:20.502 E PCd.exe[14672] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
